time,ax,ay,az
1.931,1.36,-0.29,-0.21
1.932,-0.95,-7.16,1.66
1.935,-1.22,-16.43,2.32
1.938,-2.47,-28.85,3.77
1.944,-2.18,-37.99,5.46
1.948,-0.75,-39.48,4.83
1.954,-1.54,-39.26,4.49
1.959,-1.71,-39.39,5.40
1.964,-0.49,-37.20,7.03
1.969,1.02,-31.20,7.68
1.974,1.19,-22.87,6.11
1.989,0.96,-15.79,3.92
1.992,1.26,-10.42,2.52
1.994,1.65,-6.19,1.57
1.996,1.90,-3.04,1.00
1.999,1.75,-0.28,0.37
2.004,1.83,1.96,-0.28
2.011,1.83,3.63,-0.69
2.013,1.63,4.99,-1.20
2.018,1.80,7.37,-7.12
2.023,2.45,10.11,-12.23
2.029,2.79,10.48,-7.23
2.033,2.44,10.30,-5.95
2.038,1.73,9.73,-4.34
2.044,0.88,8.78,-3.23
2.049,0.32,7.54,-2.29
2.054,0.12,6.54,-1.40
2.059,0.02,5.73,-0.85
2.065,0.01,4.71,-0.37
2.070,-0.00,3.32,0.07
2.075,-0.01,1.93,0.47
2.085,0.08,0.41,0.79
2.087,0.12,-1.24,1.19
2.089,0.13,-2.87,1.55
2.125,0.04,-4.23,1.93
2.128,-0.14,-5.40,2.45
2.132,-0.33,-6.32,2.78
2.133,-0.58,-6.65,2.72
2.134,-0.83,-6.44,2.41
2.135,-1.01,-5.53,2.06
2.136,-0.99,-4.12,1.48
2.137,-0.72,-2.76,0.96
2.138,-0.39,-1.59,0.41
2.139,-0.05,-0.65,0.07
2.144,0.21,0.06,-0.20
2.150,0.41,0.62,-0.56
2.155,0.50,0.96,-0.75
2.161,0.63,1.28,-0.87
2.165,0.74,1.41,-0.90
2.170,0.85,1.48,-0.89
2.175,0.84,1.34,-0.85
2.185,0.84,1.14,-0.76
2.187,0.73,0.95,-0.64
2.190,0.57,0.65,-0.57
2.228,0.45,0.36,-0.35
2.230,0.28,0.02,-0.17
2.232,0.03,-0.24,-0.09
2.234,-0.23,-0.43,0.23
2.235,-0.56,-0.58,0.35
2.237,-0.87,-0.65,0.58
2.238,-1.12,-0.70,0.69
2.244,-1.41,-0.66,0.84
2.246,-1.60,-0.55,0.95
2.249,-1.72,-0.52,0.91
2.251,-1.82,-0.51,1.13
2.253,-1.76,-0.46,1.08
2.256,-1.68,-0.39,0.97
2.268,-1.44,-0.27,0.94
2.269,-1.24,-0.14,0.80
2.271,-0.98,-0.09,0.55
2.275,-0.83,-0.03,0.53
2.283,-0.61,0.11,0.34
2.286,-0.48,0.06,0.21
2.290,-0.39,0.04,0.15
2.320,-0.26,-0.07,-0.01
2.322,-0.23,-0.16,-0.19
2.323,-0.18,-0.16,-0.33
2.325,-0.12,-0.18,-0.39
2.326,-0.12,-0.22,-0.54
2.327,-0.09,-0.42,-0.56
2.328,-0.08,-0.37,-0.69
2.331,-0.11,-0.31,-0.81
2.335,-0.03,-0.30,-1.07
2.340,-0.06,-0.17,-1.21
2.345,-0.09,-0.07,-1.28
2.351,-0.01,-0.13,-1.25
2.356,0.32,-0.38,-0.96
2.367,0.39,-0.52,-0.75
2.368,0.44,-0.60,-0.58
2.371,0.56,-0.56,-0.31
2.376,0.46,-0.57,-0.13
2.391,0.40,-0.54,-0.02
2.391,0.24,-0.39,0.06
2.392,0.07,-0.40,0.29
2.396,-0.06,-0.32,0.26
2.401,-0.13,-0.20,0.49
2.406,-0.16,-0.21,0.47
2.412,-0.21,-0.12,0.40
2.413,-0.22,-0.08,0.37
2.418,-0.39,0.01,0.44
2.421,-0.39,0.07,0.36
2.426,-0.45,0.14,0.30
2.431,-0.44,0.08,0.32
2.436,-0.48,0.02,0.40
2.441,-0.42,-0.13,0.35
2.446,-0.40,-0.12,0.29
2.451,-0.19,-0.17,0.19
2.456,-0.24,-0.29,0.14
2.461,-0.23,-0.20,0.09
